date,machine_name,region_id,sex,genotype,compound,vial_date,start_hour,concentration
07/10/2021,ETHOSCOPE_238,22,male,CS,lufenuron,22/09/2021,ZT0,100
07/10/2021,ETHOSCOPE_238,23,male,CS,lufenuron,22/09/2021,ZT0,100
07/10/2021,ETHOSCOPE_238,24,male,CS,lufenuron,22/09/2021,ZT0,100
15/10/2021,ETHOSCOPE_148,1,male,CS,lufenuron,01/10/2021,ZT0,100
15/10/2021,ETHOSCOPE_148,2,male,CS,lufenuron,01/10/2021,ZT0,100
15/10/2021,ETHOSCOPE_148,3,male,CS,lufenuron,01/10/2021,ZT0,100
15/10/2021,ETHOSCOPE_148,4,male,CS,lufenuron,01/10/2021,ZT0,100
15/10/2021,ETHOSCOPE_148,5,male,CS,lufenuron,01/10/2021,ZT0,100
15/10/2021,ETHOSCOPE_148,6,male,CS,lufenuron,01/10/2021,ZT0,100
15/10/2021,ETHOSCOPE_148,7,male,CS,lufenuron,01/10/2021,ZT0,100
15/10/2021,ETHOSCOPE_148,8,male,CS,lufenuron,01/10/2021,ZT0,100
15/10/2021,ETHOSCOPE_148,9,male,CS,lufenuron,01/10/2021,ZT0,100
15/10/2021,ETHOSCOPE_148,10,male,CS,lufenuron,01/10/2021,ZT0,100
15/10/2021,ETHOSCOPE_148,11,male,CS,lufenuron,01/10/2021,ZT0,100
15/10/2021,ETHOSCOPE_148,12,male,CS,lufenuron,01/10/2021,ZT0,100
15/10/2021,ETHOSCOPE_148,13,male,CS,lufenuron,01/10/2021,ZT0,100
15/10/2021,ETHOSCOPE_148,14,male,CS,lufenuron,01/10/2021,ZT0,100
15/10/2021,ETHOSCOPE_148,15,male,CS,lufenuron,01/10/2021,ZT0,100
15/10/2021,ETHOSCOPE_148,16,male,CS,lufenuron,01/10/2021,ZT0,100
15/10/2021,ETHOSCOPE_148,17,male,CS,lufenuron,01/10/2021,ZT0,100
15/10/2021,ETHOSCOPE_148,18,male,CS,lufenuron,01/10/2021,ZT0,100
15/10/2021,ETHOSCOPE_148,19,male,CS,lufenuron,01/10/2021,ZT0,100
15/10/2021,ETHOSCOPE_148,20,male,CS,lufenuron,01/10/2021,ZT0,100
15/10/2021,ETHOSCOPE_148,21,male,CS,lufenuron,01/10/2021,ZT0,100
15/10/2021,ETHOSCOPE_148,22,male,CS,lufenuron,01/10/2021,ZT0,100
15/10/2021,ETHOSCOPE_148,23,male,CS,lufenuron,01/10/2021,ZT0,100
15/10/2021,ETHOSCOPE_148,24,male,CS,lufenuron,01/10/2021,ZT0,100
29/10/2021,ETHOSCOPE_139,1,male,CS,lufenuron,15/10/2021,ZT0,100
29/10/2021,ETHOSCOPE_139,2,male,CS,lufenuron,15/10/2021,ZT0,100
29/10/2021,ETHOSCOPE_139,3,male,CS,lufenuron,15/10/2021,ZT0,100
29/10/2021,ETHOSCOPE_139,4,male,CS,lufenuron,15/10/2021,ZT0,100
